State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.6523168547233902	0.08933273433853596	0.015172881258388367	0.002855008055398957	0.011236266185678696	0.0	1.9991251122012592E-4	8.290049551045366E-4	0.1822223736302272	0.04583496434205606
2	0.13585079476788767	0.7582109551485948	0.10193927469048689	0.0	3.105560664432909E-4	1.171878766071632E-4	2.0579448264275272E-4	0.0	0.0033654369673374917	0.0
3	0.020945782739105936	0.09395297101122228	0.6816068736344457	0.09676354488175487	0.09406797881806264	0.00285563877440133	2.5069777764842995E-4	0.0	0.009556512363358796	0.0
4	0.0017305846743489268	5.159145275497788E-5	0.048929391620002545	0.7381273254389915	0.20316817744038976	6.633221543895138E-4	4.1820278434753196E-5	7.247500297960929E-6	0.007280539440390116	0.0
5	0.0034665780634851005	2.5636883881474237E-5	0.019859092297106896	0.08165323952822795	0.6994608103400843	0.036295785332270666	1.1574787608404768E-4	2.862557055556811E-4	0.1583711551061255	4.6569886717807464E-4
6	0.0	2.4367909152615675E-5	0.0	9.620575155363231E-5	0.015447220761735932	0.9730524617407794	4.9621256178257E-4	0.0	0.01088353127499584	0.0
7	4.664893109665414E-4	1.9157969274264343E-4	7.730738279211449E-4	3.0048617429635343E-4	9.359034986773465E-4	0.010157750057690092	0.9324709363932605	0.04039939984438212	0.011014334699712093	0.0032900465003510115
8	4.2587607622733335E-5	0.0	0.0	5.064617324408145E-7	4.234224813798141E-5	3.7748729502758875E-6	7.284828792574424E-4	0.9969584540459462	0.002223851884353009	0.0
9	0.0021182587306815227	2.71998699442432E-5	8.601073464156503E-5	1.1022221277388104E-4	0.006128907691680078	9.495108983815112E-4	4.554914520726416E-5	5.176870960773788E-4	0.9861654927294605	0.00385116089115194
10	0.006866547017640093	0.0	0.0	0.0	2.4677654780223373E-4	0.0	1.9927329781983474E-4	2.2386535272204576E-6	0.04957644595546287	0.9431087185277479
